,time,open,high,low,close,tick_volume,spread,real_volume,sma25,sma50,sma75,sma100,sma200
5302,2020-01-08 18:10:00,0.68509,0.68509,0.68488,0.68492,58,16,0,0.6855795999999995,0.6859706000000009,0.6862383999999998,0.6865587000000002,0.686693449999999
5303,2020-01-08 18:15:00,0.68492,0.68492,0.68483,0.68486,31,16,0,0.6855111999999995,0.6859276000000009,0.6862133333333331,0.6865263000000001,0.6866902999999991
5304,2020-01-08 18:20:00,0.68486,0.68491,0.68485,0.68487,63,16,0,0.6854431999999996,0.6858810000000009,0.6861891999999997,0.6864942000000002,0.686688849999999
5305,2020-01-08 18:25:00,0.68487,0.6855,0.68483,0.68546,195,16,0,0.6854083999999995,0.6858510000000009,0.6861742666666664,0.6864677000000003,0.686691149999999
5306,2020-01-08 18:30:00,0.68546,0.68557,0.68499,0.68543,437,16,0,0.6853699999999995,0.6858242000000007,0.6861591999999997,0.6864444000000003,0.686690549999999
5307,2020-01-08 18:35:00,0.68545,0.68647,0.68537,0.68621,482,16,0,0.6853719999999994,0.6858176000000007,0.6861562666666664,0.6864278000000003,0.686692149999999
5308,2020-01-08 18:40:00,0.68621,0.68696,0.68612,0.68693,401,16,0,0.6854143999999994,0.6858296000000007,0.6861623999999996,0.6864212000000003,0.6866978499999989
5309,2020-01-08 18:45:00,0.68694,0.68708,0.68669,0.68677,353,16,0,0.6854591999999994,0.6858400000000008,0.6861653333333331,0.6864129000000002,0.6867032499999989
5310,2020-01-08 18:50:00,0.68677,0.68729,0.68671,0.68729,283,16,0,0.6855227999999994,0.6858642000000007,0.6861754666666664,0.6864101000000004,0.6867129499999989
5311,2020-01-08 18:55:00,0.68728,0.68731,0.68685,0.68687,222,16,0,0.6855755999999994,0.6858778000000006,0.686175733333333,0.6864053000000004,0.6867206499999989
5312,2020-01-08 19:00:00,0.68686,0.68726,0.68686,0.68705,238,16,0,0.6856299999999993,0.6858976000000007,0.6861791999999997,0.6864011000000003,0.686729799999999
5313,2020-01-08 19:05:00,0.68705,0.68751,0.68705,0.68751,226,16,0,0.6856995999999992,0.6859244000000008,0.6861911999999997,0.6864013000000004,0.6867413499999989
5314,2020-01-08 19:10:00,0.68751,0.68767,0.68736,0.68737,302,16,0,0.6857619999999993,0.6859518000000009,0.6862010666666664,0.6863991000000005,0.6867510499999989
5315,2020-01-08 19:15:00,0.68737,0.68748,0.68724,0.68738,209,16,0,0.6858299999999993,0.6859756000000007,0.6862062666666663,0.6863981000000006,0.6867619499999988
5316,2020-01-08 19:20:00,0.68738,0.68739,0.68723,0.68738,98,16,0,0.6859099999999994,0.6859984000000007,0.686212533333333,0.6863974000000006,0.6867740999999988
5317,2020-01-08 19:25:00,0.68738,0.68784,0.68738,0.68773,216,16,0,0.6860107999999993,0.6860316000000007,0.6862247999999996,0.6863992000000007,0.6867860999999987
5318,2020-01-08 19:30:00,0.68773,0.6878,0.68742,0.68744,235,17,0,0.6861035999999991,0.6860658000000008,0.6862323999999997,0.6864003000000005,0.6867949999999987
5319,2020-01-08 19:35:00,0.68743,0.68743,0.68718,0.68727,159,16,0,0.6861983999999992,0.6860934000000007,0.6862406666666664,0.6864011000000005,0.6868021499999988
5320,2020-01-08 19:40:00,0.68727,0.68761,0.68723,0.68752,141,16,0,0.6862915999999992,0.6861236000000006,0.686248133333333,0.6864047000000005,0.6868083999999988
5321,2020-01-08 19:45:00,0.68752,0.68756,0.68744,0.68749,99,16,0,0.6863831999999994,0.6861436000000006,0.686255333333333,0.6864086000000005,0.6868140499999987
5322,2020-01-08 19:50:00,0.6875,0.68758,0.68737,0.68751,174,16,0,0.6864795999999994,0.6861660000000006,0.6862623999999997,0.6864111000000005,0.6868224499999986
5323,2020-01-08 19:55:00,0.68751,0.6876,0.68744,0.68751,159,17,0,0.6865771999999994,0.6861920000000006,0.686270533333333,0.6864131000000007,0.6868296499999986
